Name;Ticker;Id;ISIN
Frontline;FRO;6117;BMG3682E1012
Frontline;FRO;6117;BMG3682E1921
Frysja Elektro;FRY;2262;NO0005394908
Funcom;FUNCOM;7997;NL0000062461
Funcom;FUNCOM;7997;NO0010887029
Funcom;FUNCOM;7997;NL0012756266
G. Block Watne;GBW;2263;NO0005874008
Gambit;GAM;1742;NO0004202805
Gaming Innovation Group;GIG;7829;US36467X2062
Gaming Innovation Group;GIG;7829;US4593781051
Ganger Rolf;GRO;2207;NO0003172207
GC Rieber Shipping;RISH;7837;NO0010262686
Geophysical Comp. of Norway;GEC;1270;NO0004222209
Gjensidige Forsikring;GJF;11217;NO0010582521
Gjensidige NOR;GNO;7171;NO0010149354
Gjensidige NOR Sparebank;SNOG;1827;NO0006390103
Global IP Solutions;GIPS;8511;SE0000598559
Golar LNG;GOL;6802;BMG9456A1009
Golar LNG Energy;GOLE;8586;BMG945651013
Golden Ocean Group;GOGL;12424;BMG396371061
Golden Ocean Group;GOGL;7823;BMG4032A1045
Golden Ocean Group;GOGL;12424;BMG396372051
Golden Ocean Group REG S;GOGL R;12424;BMG396371301
Goodtech;GOD;2312;NO0004913609
GPI;GPI;1492;NO0004200502
Grand Hotel;GHO;2206;NO0004253204
Grand Hotel F;GHOF;2206;NO0004253238
Grégoire;GREG;8405;NO0010375298
Grenland Group;GGG;7982;NO0010285661
Gresvig;GRE;2267;NO0003046401
Gresvig new shares;GREN;2267;NO0010197965
Grieg Seafood;GSF;8362;NO0010365521
Guinor Gold Corporation;GNR;7769;CA4020361073
Gyldendal;GYL;2269;NO0004288200
H.C.A. Melbye;MEL;2270;NO0004817602
Hafnia Limited;HAFNIA;12741;BMG4233B1090
Hafslund Nycomed F;HNAF;1937;NO0004306432
Hafslund ser. A;HNA;1937;NO0004306408
Hafslund ser. B;HNB;1937;NO0004306416
Hands;HND;6480;NO0010065154
Hansa Bryggeri;HAN;2271;NO0004341405
Havfisk;HFISK;7924;NO0010269129
Havila Ariel;HAVA;8514;NO0010402720
Havila Shipping;HAVI;7928;NO0010257728
Havila Supply;HSU;6127;NO0003107104
Havtor;HAV;1795;NO0003200800
Havtor B;HAVB;1795;NO0003200818
Havyard Group;HYARD;12289;NO0010708605
Helgeland Sparebank;HELG;6053;NO0010029804
Helicopter Services Gr.;HES;2273;NO0004378902
Helly-Hansen;HELLY;2274;NO0004380304
Hexagon Composites;HEX;5203;NO0003067902
Hitec;HIT;2276;NO0003047409
Hjellegjerde;HJE;6064;NO0003086902
Hofseth BioCare;HBC;11280;NO0010598683
Hol Sparebank;HOLG;6130;NO0006001700
Home Invest;HOM;6487;NO0010070014
Hugo Games;HUGO;12440;DK0060637999
Hunsfos;HUN;2277;NO0004449208
Hurtigruten;HRG;8067;NO0003325102
Hydralift;HYD;5151;NO0003031908
Hydralift B;HYDB;5151;NO0003031916
Höegh LNG Holdings;HLNG;11251;BMG454221059
Høland og Setskog Sparebank;HSPG;6171;NO0010012636
HÅG;HAG;2278;NO0004474503
I.M. Skaugen;IMSK;6002;NO0003072803
I.M. Skaugen97;IMS;2279;NO0003182305
IBAS Holding;IBAS;7788;NO0010225238
IBY Eiendom;IBY;5012;NO0003053100
Ice Group;ICE;12680;NO0010734742
IDEX;IDEX;8606;NO0003070609
IGE Nordic;IGENOR;8436;SE0002214528
Ignis;IGNIS;6082;NO0003087504
iGroup;IGR;6368;NO0003089807
Imarex;IMAREX;7917;NO0010122898
IMAREX NOS New Shares;IMAREX N;7917;NO0010331887
Indre Sogn Sparebank;ISSG;5202;NO0006000603
Indre Sogn Sparebank Nye;ISSN;5202;NO0006000686
Industrifinans Boligeiendom;IFB;6152;NO0003065401
Industrifinans Forvaltning;IND;6166;NO0010012859
Industrifinans Næringseiendom;IFN;6105;NO0003095002
InFocus Corporation;IFC;6397;US45665B1061
Infostream;INF;6167;NO0003077505
Infratek;INFRA;8446;NO0010395973
Infront;INFRNT;12561;NO0010789506
Inmeta Crayon;INM;6186;NO0010026230
Insr Insurance Group;INSR;12272;NO0010593544
Intelecom Group;ITC;6794;NO0003107609
Intellinet;INN;6479;NO0010036957
International Farvefabrik;IFA;2284;NO0004498205
InterOil Exploration and Production;IOX;8135;NO0010284318
Investa;INV;1034;NO0004502402
Investra;INVEST;6296;NO0010028657
InvivoSense;INVIVO;8335;NO0010362320
Iplast;IPL;6054;NO0003061806
Itera;ITE;6153;NO0010001118
Ivar Holding;IVH;5019;NO0003053704
Ivarans Rederi;IVA;2491;NO0003231607
Jason Shipping;JSHIP;7780;NO0010227036
Jinhui Shipping and Transportation;JIN;2446;BMG5137R1088
Jonas Øglænd;JON;2316;NO0005895300
Jæren Sparebank;JAEREN;6483;NO0010359433
Kaldnes;KAN;2287;NO0003338303
Kaldnes Mek. Verksted;KAL;2415;NO0004555608
Kaldnes N;KANN;2287;NO0003338394
Kansas Workwear;KAN;6160;DK0010217967
Kenor;KEN;2288;NO0004578105
Kid;KID;12451;NO0010743545
Kirkland;KIR;2289;NO0005072215
Kitron;KIT;6098;NO0003079709
Kitron gammel;KIT;6008;NO0003072209
Kitron gammel2;KIT;5065;NO0003054744
Kjøbmandsbanken;KBK;2290;NO0003010506
Klaveness Combination Carriers;KCC;12197;NO0010833262
Klippen Invest;KLI;2286;NO0003047805
Komplett;KOM;6500;NO0010032097
Komplett Bank;KOMP;12484;NO0010694029
Kongsberg Automotive;KOA;7941;NO0003033102
Kongsberg Automotive;KOA;2518;NO0003033102
Kongsberg Gruppen;KOG;2331;NO0003043309
Kongsberg TechMatic;KTM;6091;NO0003092504
Kosmos;KOS;2413;NO0003253601
Kosmos Holding;KHO;2414;NO0004865007
Kosmos Holding Shipping;KHS;2416;NO0003253700
Kranor;KRA;2291;NO0004647108
KredittBanken;KBK;5068;NO0003028300
Kristiansand Dyrepark;KDP;2292;NO0003033300
Kverneland;KVE;2293;NO0004677006
Kværner;KVAER;11252;NO0010605371
Kværner;KVI;1284;NO0004684408
Kværner B;KVIB;1284;NO0004684416
Kværner F;KVIF;1284;NO0004684432
Kværner Shipping;KVS;2314;NO0004684606
Laboremus;LAB;2204;NO0003259103
Larvik Scandi Line;LSL;2295;NO0003047508
Larvik-Fredrikshavnferjen;LARVIK;2296;NO0003263501
Legra;LEG;5008;NO0003052300
Leif Höegh & Co;LHO;2298;NO0004456906
Lerøy Seafood Group;LSG;7148;NO0003096208
Lighthouse Caledonia;LHC;8429;NO0010393630
Linde-Group;LIN;6089;NO0003082406
Link Mobility Group;LINK;12232;NO0010219702
Link Mobility Group Holding;LINK;12811;NO0010894231
Linstow;LSW;2337;NO0005131003
Liva Bil;LIV;2299;NO0003041105
Loki;LOI;2300;NO0003088700
London Mining;LOND;8397;GB00B1VZK334
Luxo;LUX;6118;NO0003106007
Magnora;MGN;7820;NO0010187032
Magseis;MSEIS;12301;NO0010663669
Mamut;MAMUT;7770;NO0003105405
Marine Drilling Companies;MAD;5123;NO0003057606
Marine Farms;MAFA;8164;NO0010049059
Marine Harvest;MHG;5063;NO0003054108
Maritime Group;MAG;1770;NO0004799909
MARITIME INDUSTRIAL SERVICES;MIS;8318;PAP644621073
Media Holding;MHO;5113;NO0003056301
MediaBin;MBN;6055;US58446U2024
Medistim;MEDI;7774;NO0010159684
Mefjorden;MEF;6383;NO0010028889
Melhus Sparebank;MELG;6147;NO0006001908
Mercur Tankers;MET;5030;NO0003054306
Micro Software Group;MSG;5006;NO0003050403
Mikkelservice;MIK;2363;NO0003041709
Minard;MIN;5172;NO0003058802
Mindex;MDX;5112;NO0003055808
Moelven Industrier;MOE;2306;NO0004845405
Morpol;MORPOL;11187;NO0010577299
Moss Glasværk A;MGI-A;2414;NO0001111116
Mosvold Shipping Ltd.;MSL;5060;BMG629021046
MPC Container Ships;MPCC;12557;NO0010791353
MultiClient Geophysical;MCG;11326;NO0010657604
Multiconsult;MULTI;12437;NO0010734338
MultiMedia Publishing Nye;MMPN;2382;NO0003398885
MultiSoft;MUS;2447;NO0003050106
Napatech;NAPA;12233;DK0060520450
NattoPharma;NATTO;8447;NO0010289200
NAUR New Shares;NAUR R;8166;LU0741861065
Navamedic;NAVA;8063;NO0010205966
Navia;NAV;2357;NO0003045007
NAVIS;NIS;6092;NO0003092702
NCL Holding;NCL;2399;NO0003318701
NEAS;NEAS;8246;NO0010355621
NEK Kabel B;NEKB;2312;NO0004913617
Nekkar;NKR;2525;NO0003049405
NEL;NEL;7795;NO0010081235
Nemi Forsikring;NEMI;7933;NO0003114902
Nera;NER;2489;NO0003050700
NetCom;NTC;5122;NO0003057507
NetConnect;NETCO;11180;NO0010445901
Nettbuss Sør;NET;2214;NO0003069908
NEXT Biometrics Group;NEXT;12309;NO0010629108
NextGenTel Holding;NEXT;7629;NO0010204498
NextGenTel Holding;NGT;8112;NO0010199052
Nexus Floating Production;NEXUS;8279;SG9999002877
Nidar;NID;2313;NO0004921008
Nobø Fabrikker;NOB;2318;NO0004950403
Nora Eiendom;NOE;2321;NO0004957705
Nora Industrier;NOI;1043;NO0004957903
Nora Industrier B;NOIB;1043;NO0004957911
Nora Industrier F;NOIF;1043;NO0004957937
Noral;NRL;2382;NO0003398802
NORBIT;NORBIT;12714;NO0010856511
Norcem;NORCEM;1111;NO0004959602
Norcool Holding;NCO;6088;NO0003093007
Norda;NORD;7994;NO0010285190
Nordic American Tanker Shipping;NAT;5020;BMG657731060
Nordic Health;NORH;8526;NO0010291222
Nordic Mining;NOM;8123;NO0010317340
Nordic Nanovector;NANO;12412;NO0010597883
Nordic Semiconductor;NOD;5117;NO0003055501
Nordic Water Supply;NOW;5018;NO0005128603
Nordlandsbanken;NBK;1948;NO0003014003
Nordlandsbanken K;NBKK;1948;NO0003014086
Nordlandsbanken N;NBKN;1948;NO0003014037
Nordstrøm & Thulin B;NTH;2323;SE0000109985
Norema A;NMA;1046;NO0004997602
Norex Offshore;NOR;2325;NO0003661209
Norgani Hotels;NORGAN;7979;NO0010272636
Norges Hypotekinstitutt;NHI;1128;NO0003014508
Norgeskreditt P;NOK;1612;NO0003028003
Norman;NOR;5103;NO0003048209
Norman;NORMAN;7792;NO0010225246
Norminol;NOL;2328;NO0005011502
Norse Energy Corp.;NEC;6102;NO0003095507
Norsk Data A;NDA;1113;NO0005028407
Norsk Data B;NDB;1113;NO0005028415
Norsk El. & Brown Boveri;NEB;2330;NO0005033001
Norsk Hydro;NHY;1114;NO0005052605
Norsk Kjøkkeninvest;NKI;6129;NO0003065708
Norsk Lotteridrift;NLD;6042;NO0003068306
Norsk Vekst;NOV;2487;NO0003048308
Norske Skog;NSI;2498;NO0004135609
Norske Skog;NSK;1017;NO0005113506
Norske Skog;NSKOG;12734;NO0010861115
Norske Skog B;NSGB;2498;NO0004135617
Norske Skogindustrier;NSG;2498;NO0004135633
Norstat;NSTAT;7961;NO0010280936
North Energy;NORTH;8605;NO0010550056
Northern Drilling;NODL;12568;BMG6624L1090
Northern Ocean Ltd.;NOL;12750;BMG6682J1036
Northern Offshore;NOF;6497;BMG6635W1029
Northern Offshore gammel;NOF_GML;6497;BMG6635W1029
Northland Resources;NAUR;8166;LU0488722801
Northland Resources New Shares;NAUR R;8166;CA6665273042
Northland Resources Nye aksjer;NAUR R;8166;CA6665272051
Nortrans Offshore;NOL;6140;BMG6669A1099
Norway Pelagic;NPEL;8504;NO0010373384
Norway Royal Salmon;NRS;11235;NO0010331838
Norway Seafoods;NWS;6021;NO0003052615
Norwegian Air Shuttle;NAS;7628;NO0010196140
Norwegian Car Carriers;NOCC;2370;NO0003146904
Norwegian Energy Company;NOR;8416;NO0010379266
Norwegian Finans Holding;NOFI;12494;NO0010387004
Norwegian Petroleum Consultants;NPC;2333;NO0005125906
Norwegian Property;NPRO;8191;NO0010317811
Notodden Elektronikk;NOT;2335;NO0005128306
NTS;NTS;2311;NO0004895103
Nycomed A;NYC;5126;NO0004306507
Nycomed Amersham A;NYA;6068;GB0000300417
Nycomed Amersham B;NYAB;6068;GB0001664969
Nycomed B;NYCB;5126;NO0004306515
Nydalen Compagnie B;NYDB;2337;NO0005131011
Observe Medical;OBSERV;12733;NO0010865009
Ocean HeavyLift;OHL;8287;NO0010290786
Ocean Rig;OCR;5199;NO0003066300
Ocean Yield;OCY;11316;NO0010657448
Oceanor Holding;OCE;6782;NO0010097033
Oceanteam;OTS;8229;NO0010317316
Odfjell Drilling;ODL;12219;BMG671801022
Odfjell Invest;OILRIG;8113;BMG6740A1027
Odfjell ser. A;ODF;2366;NO0003399909
Odfjell ser. B;ODFB;2366;NO0003399917
Odim;ODIM;7980;NO0010176852
Office Line;OFL;6733;NO0010074396
OfficeShop Holding;OSH;6488;NO0010070402
OHI;OHI;6805;NO0003095408
OKEA;OKEA;12627;NO0010816895
Okeanis Eco Tankers;OET;12643;MHY641771016
Olav Thon Eiendomsselskap;OLT;1308;NO0005638858
Opera Software;OPERA;7759;NO0010040611
Opticom;OPC;5114;NO0003053902
ORIGIO;ORO;5173;DK0015933584
Orkla;ORK;1107;NO0003733800
Orkla B;ORKB;1107;NO0003733818
Orkla F;ORKF;1107;NO0003733834
Orkla Industrier;ORKLA;2338;NO0005175802
Oslo Areal;OSLO;7921;NO0010250699
Oslo Handelsbank;OHB;2339;NO0003017006
Oslo Reinsurance Co;ORC;2526;NO0003051906
Oslo Shipholding;OSH;1756;NO0003260200
Oslobanken;OBK;1606;NO0003018004
Oslobanken N;OBKN;1606;NO0003018061
Otrum;OTR;6135;NO0003068009
P4 Radio Hele Norge;PFI;5186;NO0003063703
PA Resources;PAR;6821;SE0000818569
Pan Pelagic;PEL;6780;NO0010070634
Panoro Energy;PEN;8624;NO0010564701
Pareto Bank;PARB;8596;NO0010397581
PC LAN;PCL;6185;NO0010022734
PCI Biotech Holding;PCIB;8502;NO0010405640
Peppe's Pizza;PEP;2341;NO0003041303
Petrobank Energy and Resources;PBG;8004;CA71645P1062
Petrobank Energy and Resources Nye aksje;PBGN;8004;CA71645P2052
Petrojack;JACK;7832;NO0010244346
Petroleum Geo-Services;PGS;2342;NO0010199151
Petrolia;PDR;6018;CY0102630916
Petrolia Drilling nye aksjer;PDRN;6018;NO0010171952
PETROMENA;PMENA;8319;NO0010285018
PetroNor E&P Limited;PNOR;12300;AU0000057408
PetroProd;PPROD;8438;KYG7053Q1064
Pexip Holding;PEXIP;12767;NO0010840507
Photocure;PHO;6357;NO0010000045
Pioneer Property Group;PPG PREF;12438;NO0010735681
Polarcus;PLCS;8582;KYG7153K1085
